,gene1,gene2,result
204,G:HGNC:9276,G:HGNC:30695,"Meta path:['GTG'], rank is 149 and total rank is 353"
205,G:HGNC:4635,G:HGNC:4637,"Meta path:['GPdPG'], rank is 1 and total rank is 12"
206,G:HGNC:9286,G:HGNC:9314,"Meta path:['GTG'], rank is 313 and total rank is 505"
207,G:HGNC:8592,G:HGNC:392,"Meta path:['GTG'], rank is 198 and total rank is 636"
208,G:HGNC:4637,G:HGNC:7063,"Meta path:['GPdPG'], rank is 1 and total rank is 12"
209,G:HGNC:857,G:HGNC:853,"Meta path:['GTG'], rank is 20 and total rank is 434"
210,G:HGNC:122,G:HGNC:125,"Meta path:['GTG'], rank is 90 and total rank is 444"
211,G:HGNC:2730,G:HGNC:9611,"Meta path:['GPdPG'], rank is 5 and total rank is 39"
212,G:HGNC:7708,G:HGNC:7716,"Meta path:['GDG'], rank is 1 and total rank is 5"
213,G:HGNC:9286,G:HGNC:9319,"Meta path:['GTG'], rank is 163 and total rank is 378"
214,G:HGNC:4127,G:HGNC:30488,"Meta path:['GTG'], rank is 2 and total rank is 239"
215,G:HGNC:33437,G:HGNC:4634,"Meta path:['GTG'], rank is 30 and total rank is 422"
216,G:HGNC:9407,G:HGNC:30045,"Meta path:['GTG'], rank is 183 and total rank is 714"
217,G:HGNC:28883,G:HGNC:9226,"Meta path:['GTG'], rank is 1 and total rank is 250"
218,G:HGNC:9381,G:HGNC:13480,"Meta path:['GPdPG'], rank is 2 and total rank is 38"
219,G:HGNC:19139,G:HGNC:16099,"Meta path:['GTG'], rank is 10 and total rank is 232"
220,G:HGNC:3763,G:HGNC:3955,"Meta path:['GPdPG'], rank is 24 and total rank is 64"
221,G:HGNC:9229,G:HGNC:14450,"Meta path:['GTG'], rank is 111 and total rank is 382"
222,G:HGNC:22140,G:HGNC:9395,"Meta path:['GTG'], rank is 215 and total rank is 638"
223,G:HGNC:9061,G:HGNC:29037,"Meta path:['GTG'], rank is 12 and total rank is 317"
224,G:HGNC:24791,G:HGNC:9029,"Meta path:['GTG'], rank is 19 and total rank is 317"
225,G:HGNC:19875,G:HGNC:4130,"Meta path:['GTG'], rank is 9 and total rank is 255"
226,G:HGNC:7458,G:HGNC:7716,"Meta path:['GPdPG'], rank is 1 and total rank is 15"
227,G:HGNC:9276,G:HGNC:9304,"Meta path:['GTG'], rank is 52 and total rank is 401"
228,G:HGNC:24948,G:HGNC:9350,"Meta path:['GTG'], rank is 175 and total rank is 465"
229,G:HGNC:7873,G:HGNC:7876,"Meta path:['GPdPG', 'GMDMG'], rank is 1 and total rank is 55"
230,G:HGNC:1470,G:HGNC:1469,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
231,G:HGNC:7455,G:HGNC:7458,"Meta path:['GDpDpDG', 'GTG'], rank is 5 and total rank is 4735"
232,G:HGNC:9639,G:HGNC:24175,"Meta path:['GTG'], rank is 5 and total rank is 385"
233,G:HGNC:17927,G:HGNC:20944,"Meta path:['GTG'], rank is 9 and total rank is 422"
234,G:HGNC:5201,G:HGNC:6938,"Meta path:['GTG'], rank is 67 and total rank is 214"
235,G:HGNC:6833,G:HGNC:6834,"Meta path:['GPdPG'], rank is 1 and total rank is 75"
236,G:HGNC:28110,G:HGNC:9287,"Meta path:['GTG'], rank is 150 and total rank is 443"
237,G:HGNC:9031,G:HGNC:17934,"Meta path:['GTG'], rank is 12 and total rank is 410"
238,G:HGNC:22140,G:HGNC:1985,"Meta path:['GTG'], rank is 227 and total rank is 535"
239,G:HGNC:9381,G:HGNC:9410,"Meta path:['GPdPG'], rank is 2 and total rank is 53"
240,G:HGNC:393,G:HGNC:9402,"Meta path:['GTG'], rank is 120 and total rank is 603"
241,G:HGNC:4627,G:HGNC:19662,"Meta path:['GPdPG'], rank is 2 and total rank is 18"
242,G:HGNC:8590,G:HGNC:392,"Meta path:['GTG', 'GMDpDMG'], rank is 19 and total rank is 13439"
243,G:HGNC:391,G:HGNC:393,"Meta path:['GDpDG'], rank is 177 and total rank is 307"
244,G:HGNC:9229,G:HGNC:9228,"Meta path:['GTG'], rank is 3 and total rank is 378"
245,G:HGNC:22140,G:HGNC:8592,"Meta path:['GDpDG', 'GTG', 'GMDpDMG'], rank is 52 and total rank is 1002"
246,G:HGNC:13480,G:HGNC:392,"Meta path:['GTG'], rank is 157 and total rank is 585"
247,G:HGNC:3655,G:HGNC:2444,"Meta path:['GPdPG'], rank is 6 and total rank is 46"
248,G:HGNC:14269,G:HGNC:23364,"Meta path:['GTG'], rank is 11 and total rank is 282"
249,G:HGNC:13534,G:HGNC:13535,"Meta path:['GTG'], rank is 1 and total rank is 326"
250,G:HGNC:30488,G:HGNC:4124,"Meta path:['GTG'], rank is 24 and total rank is 352"
251,G:HGNC:6190,G:HGNC:3955,"Meta path:['GPdPG'], rank is 15 and total rank is 47"
252,G:HGNC:13480,G:HGNC:11399,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
253,G:HGNC:2312,G:HGNC:2313,"Meta path:['GPdPG'], rank is 1 and total rank is 21"
254,G:HGNC:439,G:HGNC:438,"Meta path:['GTG'], rank is 18 and total rank is 401"
255,G:HGNC:28110,G:HGNC:25415,"Meta path:['GTG'], rank is 17 and total rank is 295"
256,G:HGNC:9316,G:HGNC:28110,"Meta path:['GTG'], rank is 70 and total rank is 378"
257,G:HGNC:9870,G:HGNC:21406,"Meta path:['GDpDpDG', 'GTG', 'GMDMG', 'GMDpDMG'], rank is 6 and total rank is 2188"
258,G:HGNC:24293,G:HGNC:17198,"Meta path:['GTG'], rank is 3 and total rank is 257"
259,G:HGNC:12434,G:HGNC:2444,"Meta path:['GPdPG'], rank is 6 and total rank is 46"
260,G:HGNC:8590,G:HGNC:30045,"Meta path:['GTG'], rank is 210 and total rank is 818"
261,G:HGNC:921,G:HGNC:922,"Meta path:['GTG'], rank is 1 and total rank is 252"
262,G:HGNC:13538,G:HGNC:8592,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
263,G:HGNC:4632,G:HGNC:4641,"Meta path:['GPdPG'], rank is 6 and total rank is 19"
264,G:HGNC:8590,G:HGNC:11399,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
265,G:HGNC:9416,G:HGNC:1985,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
