HGNC ID,RefSeq IDs,Enzyme IDs
HGNC:16099,NM_080615,2.4.1.-
HGNC:29644,NM_016641,3.1.4.46
HGNC:34360,NM_001013657,2.7.7.78
HGNC:752,NM_004317,3.6.3.16
HGNC:4236,NM_005262,1.8.3.2
HGNC:25100,NM_033110,4.3.2.9
HGNC:21705,NM_024051,4.3.2.9
HGNC:4247,NM_000821,4.1.1.90
HGNC:4249,NM_004837,"2.5.1.1, 2.5.1.10, 2.5.1.29"
HGNC:4250,NM_013430,2.3.2.2
HGNC:4251,NM_001351304,2.3.2.2
HGNC:4260,NM_004121,2.3.2.2
HGNC:4259,NM_178026,2.3.2.2
HGNC:4289,NM_000167,2.7.1.30
HGNC:4298,NM_000404,3.2.1.23
HGNC:17855,NM_015554,5.1.3.12
HGNC:4313,NM_000170,1.4.4.2
HGNC:4323,NM_006708,4.4.1.5
HGNC:29570,NM_013267,3.5.1.2
HGNC:4335,NM_005271,1.4.1.3
HGNC:4341,NM_002065,6.3.1.2
HGNC:13734,NM_201648,2.3.1.13
HGNC:24178,NM_145016,2.3.1.13
HGNC:24247,NM_145262,2.7.1.31
HGNC:22932,NM_013334,2.7.7.22
HGNC:23657,NM_005476,"2.7.1.60, 3.2.1.183, 5.1.3.14"
HGNC:4417,NM_005471,3.5.99.6
HGNC:21526,NM_138335,3.5.99.6
HGNC:4432,NM_002079,2.6.1.1
HGNC:24865,NM_020918,2.3.1.15
HGNC:27168,NM_207328,2.3.1.15
HGNC:28157,NM_032717,2.3.1.15
HGNC:20880,NM_178819,2.3.1.15
HGNC:4553,NM_000581,1.11.1.9
HGNC:33100,NM_001008397,1.11.1.9
HGNC:4570,NM_012203,"1.1.1.79, 1.1.1.81"
HGNC:10013,NM_002929,2.7.11.14
HGNC:289,NM_001619,2.7.11.15
HGNC:290,NM_005160,2.7.11.15
HGNC:4627,NM_000846,2.5.1.18
HGNC:4629,NM_001512,2.5.1.18
HGNC:19662,NM_153699,2.5.1.18
HGNC:16906,NM_015917,2.5.1.18
HGNC:4632,NM_000561,2.5.1.18
HGNC:4634,NM_000848,2.5.1.18
HGNC:4635,NM_000849,2.5.1.18
HGNC:4636,NM_000850,2.5.1.18
HGNC:4637,NM_000851,2.5.1.18
HGNC:13312,NM_004832,"2.5.1.18, 1.8.5.1, 1.20.4.2"
HGNC:23064,NM_183239,"2.5.1.18, 1.8.5.1, 1.20.4.2"
HGNC:4638,NM_000852,2.5.1.18
HGNC:4641,NM_000853,2.5.1.18
HGNC:4642,NM_000854,2.5.1.18
